Date,Main_x,Start,End,InBed hrs,Asleep hrs,Awake,REM hrs,Light hrs,Deep hrs,Wake Count,Efficiency,Fall Asleep,Data Source,Main_y,Start_Nap,End_Nap,Asleep_Nap,Data Source Nap,Overnight HRV,Baseline,7d Avg,Stress,RHR,Stress_sleep
2025-07-21,True,00:17,08:56,8.65,7.93,43,1.78,4.62,1.53,1.0,92%,0.0,Synthetic,,,,,,65.0,60ms - 70ms,65.0,32.0,51.0,13.0
2025-07-22,True,23:09,06:10,7.02,6.47,33,1.3,3.94,1.24,5.0,92%,61.0,Synthetic,False,15:35,16:04,29.0,Synthetic,49.0,44ms - 54ms,57.0,29.0,63.0,12.0
2025-07-23,True,22:46,05:58,7.2,6.82,23,1.54,4.05,1.24,2.0,95%,0.0,Synthetic,,,,,,52.0,47ms - 57ms,55.0,27.0,52.0,11.0
2025-07-24,True,22:39,06:47,8.14,7.62,31,1.69,4.43,1.5,1.0,94%,13.0,Synthetic,,,,,,61.0,56ms - 66ms,57.0,23.0,50.0,6.0
2025-07-25,True,21:55,05:53,7.97,7.02,57,1.4,4.37,1.25,2.0,88%,18.0,Synthetic,,,,,,40.0,35ms - 45ms,53.0,27.0,55.0,12.0
2025-07-26,True,22:50,06:00,7.17,6.27,54,1.15,4.06,1.06,1.0,87%,14.0,Synthetic,,,,,,44.0,39ms - 49ms,52.0,39.0,60.0,22.0
2025-07-27,True,23:40,07:21,7.68,7.16,31,1.48,4.49,1.19,2.0,93%,8.0,Synthetic,,,,,,41.0,36ms - 46ms,50.0,26.0,59.0,13.0
2025-07-28,True,23:21,06:50,7.49,6.99,30,1.46,4.36,1.16,2.0,93%,33.0,Synthetic,,,,,,46.0,41ms - 51ms,48.0,29.0,56.0,19.0
2025-07-29,True,23:01,06:34,7.56,7.12,26,1.16,4.76,1.2,1.0,94%,37.0,Synthetic,,,,,,50.0,45ms - 55ms,48.0,36.0,60.0,11.0
2025-07-30,True,22:25,05:38,7.22,6.77,27,0.94,4.91,0.91,2.0,94%,9.0,Synthetic,,,,,,44.0,39ms - 49ms,47.0,35.0,58.0,19.0
2025-07-31,True,23:08,07:51,8.72,8.08,38,1.83,4.81,1.44,0.0,93%,12.0,Synthetic,,,,,,51.0,46ms - 56ms,45.0,25.0,54.0,13.0
2025-08-01,True,23:35,07:35,7.99,7.27,43,1.77,4.37,1.12,1.0,91%,12.0,Synthetic,False,12:40,13:37,57.0,Synthetic,56.0,51ms - 61ms,47.0,25.0,49.0,18.0
2025-08-02,True,23:15,06:10,6.91,6.41,30,1.24,4.14,1.03,1.0,93%,19.0,Synthetic,,,,,,55.0,50ms - 60ms,49.0,23.0,53.0,14.0
2025-08-03,True,23:06,07:35,8.49,8.41,5,1.67,5.02,1.72,1.0,99%,4.0,Synthetic,False,13:00,13:35,35.0,Synthetic,59.0,54ms - 64ms,52.0,19.0,48.0,15.0
2025-08-04,True,22:32,06:21,7.82,7.49,20,1.75,4.24,1.5,1.0,96%,1.0,Synthetic,,,,,,60.0,55ms - 65ms,54.0,22.0,47.0,7.0
2025-08-05,True,23:30,07:15,7.74,7.23,31,1.68,4.13,1.42,2.0,93%,9.0,Synthetic,False,12:32,13:06,34.0,Synthetic,59.0,54ms - 64ms,55.0,21.0,50.0,14.0
2025-08-06,True,21:10,06:00,8.82,7.89,56,1.98,4.55,1.35,0.0,89%,2.0,Synthetic,False,13:35,13:49,14.0,Synthetic,55.0,50ms - 60ms,56.0,24.0,58.0,9.0
2025-08-07,True,23:13,05:45,6.53,6.14,23,1.31,3.96,0.87,2.0,94%,11.0,Synthetic,,,,,,45.0,40ms - 50ms,56.0,27.0,54.0,14.0
2025-08-08,True,00:30,07:39,7.15,6.72,26,1.4,4.17,1.15,0.0,94%,27.0,Synthetic,False,13:02,13:37,35.0,Synthetic,53.0,48ms - 58ms,55.0,16.0,48.0,12.0
2025-08-09,True,22:07,05:29,7.37,6.49,53,1.25,4.1,1.13,4.0,88%,10.0,Synthetic,,,,,,58.0,53ms - 63ms,56.0,20.0,50.0,10.0
2025-08-10,True,22:52,06:16,7.41,6.74,40,1.42,4.17,1.16,1.0,91%,13.0,Synthetic,False,11:25,12:02,37.0,Synthetic,55.0,50ms - 60ms,55.0,34.0,53.0,9.0
2025-08-11,True,23:00,06:50,7.83,7.03,48,1.36,4.39,1.28,1.0,90%,15.0,Synthetic,,,,,,50.0,45ms - 55ms,54.0,31.0,56.0,10.0
2025-08-12,True,22:44,06:52,8.13,7.63,30,1.53,4.78,1.31,0.0,94%,23.0,Synthetic,False,12:52,13:35,43.0,Synthetic,56.0,51ms - 61ms,53.0,16.0,52.0,3.0
2025-08-13,True,23:36,07:34,7.97,7.37,36,1.89,4.15,1.32,2.0,92%,14.0,Synthetic,False,14:54,15:35,41.0,Synthetic,57.0,52ms - 62ms,53.0,16.0,54.0,9.0
2025-08-14,True,23:17,06:26,7.16,6.4,46,1.6,3.84,0.96,2.0,89%,9.0,Synthetic,False,13:20,13:54,34.0,Synthetic,48.0,43ms - 53ms,54.0,26.0,52.0,17.0
2025-08-15,True,23:05,05:27,6.36,5.88,29,1.36,3.49,1.02,3.0,92%,9.0,Synthetic,,,,,,48.0,43ms - 53ms,53.0,36.0,55.0,9.0
2025-08-16,True,23:28,07:24,7.94,7.2,44,1.4,4.57,1.24,2.0,91%,3.0,Synthetic,,,,,,57.0,52ms - 62ms,53.0,24.0,50.0,8.0
2025-08-17,True,23:01,06:20,7.32,7.09,14,1.67,4.27,1.15,0.0,97%,9.0,Synthetic,,,,,,59.0,54ms - 64ms,54.0,30.0,50.0,20.0
2025-08-18,True,00:51,09:00,8.14,7.61,32,1.78,4.5,1.33,0.0,93%,24.0,Synthetic,False,14:57,15:28,31.0,Synthetic,53.0,48ms - 58ms,54.0,24.0,49.0,9.0
2025-08-19,True,23:05,07:22,8.28,7.8,29,1.81,4.6,1.38,1.0,94%,8.0,Synthetic,,,,,,55.0,50ms - 60ms,54.0,24.0,47.0,13.0
2025-08-20,True,23:07,07:28,8.35,8.27,5,2.26,4.39,1.62,0.0,99%,7.0,Synthetic,False,14:32,14:57,25.0,Synthetic,71.0,66ms - 76ms,56.0,5.0,48.0,9.0
2025-08-21,True,22:00,06:25,8.41,8.06,21,1.97,4.37,1.72,2.0,96%,13.0,Synthetic,,,,,,69.0,64ms - 74ms,59.0,23.0,50.0,12.0
2025-08-22,True,22:41,06:30,7.82,7.43,23,1.73,4.4,1.3,1.0,95%,3.0,Synthetic,,,,,,48.0,43ms - 53ms,59.0,21.0,54.0,6.0
2025-08-23,True,23:40,07:17,7.61,7.18,26,1.56,4.46,1.16,2.0,94%,1.0,Synthetic,False,12:53,13:31,38.0,Synthetic,51.0,46ms - 56ms,58.0,32.0,54.0,14.0
2025-08-24,True,22:13,05:36,7.38,6.91,28,1.54,4.43,0.95,5.0,94%,21.0,Synthetic,,,,,,49.0,44ms - 54ms,57.0,20.0,54.0,7.0
2025-08-25,True,21:44,05:28,7.72,7.55,10,1.47,4.8,1.29,2.0,98%,6.0,Synthetic,,,,,,58.0,53ms - 63ms,57.0,20.0,45.0,20.0
2025-08-26,True,23:01,07:04,8.05,7.52,32,1.68,4.52,1.31,1.0,93%,5.0,Synthetic,,,,,,56.0,51ms - 61ms,57.0,24.0,53.0,5.0
2025-08-27,True,23:48,07:33,7.75,7.37,23,1.44,4.78,1.15,0.0,95%,33.0,Synthetic,False,13:34,14:03,29.0,Synthetic,49.0,44ms - 54ms,54.0,26.0,54.0,11.0
2025-08-28,True,23:01,06:25,7.4,6.53,52,1.09,4.24,1.21,1.0,88%,39.0,Synthetic,,,,,,43.0,38ms - 48ms,51.0,33.0,57.0,13.0
2025-08-29,True,22:48,06:28,7.66,7.31,21,1.78,4.31,1.22,3.0,95%,11.0,Synthetic,False,13:26,13:52,26.0,Synthetic,52.0,47ms - 57ms,51.0,25.0,54.0,8.0
2025-08-30,True,21:55,05:32,7.63,7.26,22,1.86,3.96,1.44,2.0,95%,16.0,Synthetic,,,,,,54.0,49ms - 59ms,52.0,19.0,49.0,17.0
2025-08-31,True,23:16,07:02,7.77,7.46,19,1.88,4.22,1.36,1.0,96%,55.0,Synthetic,,,,,,53.0,48ms - 58ms,52.0,29.0,46.0,21.0
2025-09-01,True,23:23,07:43,8.33,7.5,50,1.62,4.59,1.28,1.0,90%,8.0,Synthetic,,,,,,56.0,51ms - 61ms,52.0,31.0,51.0,12.0
2025-09-02,True,21:58,04:53,6.93,6.31,37,1.55,3.68,1.08,2.0,91%,32.0,Synthetic,False,12:10,12:33,23.0,Synthetic,57.0,52ms - 62ms,52.0,21.0,54.0,8.0
2025-09-03,True,23:40,06:48,7.14,6.64,30,1.43,4.06,1.15,3.0,93%,21.0,Synthetic,,,,,,57.0,52ms - 62ms,53.0,27.0,54.0,4.0
2025-09-04,True,23:27,06:40,7.22,6.6,37,1.46,3.79,1.36,2.0,91%,49.0,Synthetic,,,,,,49.0,44ms - 54ms,54.0,20.0,48.0,12.0
2025-09-05,True,23:40,06:15,6.6,6.51,5,1.31,4.29,0.91,2.0,99%,4.0,Synthetic,False,13:52,14:16,24.0,Synthetic,61.0,56ms - 66ms,55.0,14.0,47.0,9.0
2025-09-06,True,23:20,06:59,7.64,7.21,26,1.68,4.46,1.07,0.0,94%,26.0,Synthetic,,,,,,61.0,56ms - 66ms,56.0,26.0,48.0,8.0
2025-09-07,True,23:23,08:09,8.78,7.99,47,1.85,4.73,1.41,1.0,91%,3.0,Synthetic,,,,,,57.0,52ms - 62ms,57.0,10.0,48.0,11.0
2025-09-08,True,23:18,07:09,7.85,7.39,28,1.47,4.58,1.34,0.0,94%,26.0,Synthetic,,,,,,59.0,54ms - 64ms,57.0,25.0,47.0,13.0
2025-09-09,True,23:30,07:33,8.04,7.59,27,1.7,4.44,1.46,2.0,94%,6.0,Synthetic,,,,,,58.0,53ms - 63ms,57.0,20.0,47.0,12.0
2025-09-10,True,21:56,06:34,8.62,8.12,30,1.85,4.72,1.55,0.0,94%,1.0,Synthetic,False,11:40,12:02,22.0,Synthetic,68.0,63ms - 73ms,59.0,18.0,47.0,9.0
2025-09-11,True,22:07,06:27,8.33,7.5,50,1.79,4.52,1.19,4.0,90%,28.0,Synthetic,,,,,,56.0,51ms - 61ms,60.0,31.0,55.0,11.0
2025-09-12,True,22:34,05:39,7.09,6.8,17,1.5,4.08,1.23,1.0,96%,1.0,Synthetic,,,,,,41.0,36ms - 46ms,57.0,32.0,52.0,19.0
2025-09-13,True,22:55,06:39,7.72,7.34,23,1.44,4.6,1.3,2.0,95%,30.0,Synthetic,,,,,,56.0,51ms - 61ms,56.0,27.0,55.0,17.0
2025-09-14,True,23:14,06:40,7.45,6.63,49,1.31,4.27,1.06,1.0,89%,3.0,Synthetic,False,11:59,12:17,18.0,Synthetic,40.0,35ms - 45ms,54.0,36.0,59.0,21.0
2025-09-15,True,23:11,06:04,6.87,6.26,37,1.21,3.94,1.1,0.0,91%,13.0,Synthetic,,,,,,48.0,43ms - 53ms,52.0,32.0,53.0,21.0
