DATE,WORKOUT_NAME,DURATION_MIN,EXERCISE_NAME,SET_ORDER,WEIGHT_LBS,REPS,NOTES,RPE,VOLUME,RECORDED_RPE,REPS_ONLY
2025-07-21 08:01:00,PUSH DAY,81,Bench Press (Barbell),1,110.0,8.0,,7.0,880.0,True,8.0
2025-07-21 08:01:00,PUSH DAY,81,Bench Press (Barbell),2,110.0,9.0,,,990.0,False,9.0
2025-07-21 08:01:00,PUSH DAY,81,Bench Press (Barbell),3,110.0,6.0,,8.0,660.0,True,6.0
2025-07-21 08:01:00,PUSH DAY,81,Bench Press (Barbell),4,110.0,5.0,,8.0,550.0,True,5.0
2025-07-21 08:01:00,PUSH DAY,81,Overhead Press (Barbell),1,70.0,7.0,,9.0,490.0,True,7.0
2025-07-21 08:01:00,PUSH DAY,81,Overhead Press (Barbell),2,70.0,6.0,,9.0,420.0,True,6.0
2025-07-21 08:01:00,PUSH DAY,81,Overhead Press (Barbell),3,70.0,4.0,,10.0,280.0,True,4.0
2025-07-21 08:01:00,PUSH DAY,81,Overhead Press (Barbell),4,70.0,6.0,,7.0,420.0,True,6.0
2025-07-21 08:01:00,PUSH DAY,81,Incline Press (Dumbbell),1,40.0,8.0,,10.0,320.0,True,8.0
2025-07-21 08:01:00,PUSH DAY,81,Incline Press (Dumbbell),2,40.0,5.0,,6.0,200.0,True,5.0
2025-07-21 08:01:00,PUSH DAY,81,Incline Press (Dumbbell),3,40.0,6.0,,9.0,240.0,True,6.0
2025-07-21 08:01:00,PUSH DAY,81,Incline Press (Dumbbell),4,40.0,5.0,,10.0,200.0,True,5.0
2025-07-21 08:01:00,PUSH DAY,81,Lateral Raise (Dumbbell),1,10.0,6.0,,8.0,60.0,True,6.0
2025-07-21 08:01:00,PUSH DAY,81,Lateral Raise (Dumbbell),2,10.0,8.0,,8.0,80.0,True,8.0
2025-07-21 08:01:00,PUSH DAY,81,Lateral Raise (Dumbbell),3,10.0,6.0,,8.0,60.0,True,6.0
2025-07-21 08:01:00,PUSH DAY,81,Lateral Raise (Dumbbell),4,10.0,6.0,,8.0,60.0,True,6.0
2025-07-21 08:01:00,PUSH DAY,81,Triceps Pushdown (Cable),1,40.0,6.0,,,240.0,False,6.0
2025-07-21 08:01:00,PUSH DAY,81,Triceps Pushdown (Cable),2,40.0,7.0,,,280.0,False,7.0
2025-07-21 08:01:00,PUSH DAY,81,Triceps Pushdown (Cable),3,40.0,5.0,,9.0,200.0,True,5.0
2025-07-22 09:33:00,LEGS DAY,95,Squat (Barbell),1,155.0,6.0,,9.0,930.0,True,6.0
2025-07-22 09:33:00,LEGS DAY,95,Squat (Barbell),2,155.0,7.0,,8.0,1085.0,True,7.0
2025-07-22 09:33:00,LEGS DAY,95,Squat (Barbell),3,155.0,5.0,,6.0,775.0,True,5.0
2025-07-22 09:33:00,LEGS DAY,95,Squat (Barbell),4,155.0,5.0,,9.0,775.0,True,5.0
2025-07-22 09:33:00,LEGS DAY,95,Romanian Deadlift (Barbell),1,135.0,6.0,,8.0,810.0,True,6.0
2025-07-22 09:33:00,LEGS DAY,95,Romanian Deadlift (Barbell),2,135.0,10.0,,6.0,1350.0,True,10.0
2025-07-22 09:33:00,LEGS DAY,95,Romanian Deadlift (Barbell),3,135.0,7.0,,8.0,945.0,True,7.0
2025-07-22 09:33:00,LEGS DAY,95,Leg Press (Machine),1,250.0,7.0,,,1750.0,False,7.0
2025-07-22 09:33:00,LEGS DAY,95,Leg Press (Machine),2,250.0,5.0,,8.0,1250.0,True,5.0
2025-07-22 09:33:00,LEGS DAY,95,Leg Press (Machine),3,250.0,6.0,,8.0,1500.0,True,6.0
2025-07-22 09:33:00,LEGS DAY,95,Leg Press (Machine),4,250.0,7.0,,8.0,1750.0,True,7.0
2025-07-22 09:33:00,LEGS DAY,95,Leg Curl (Machine),1,75.0,9.0,,7.0,675.0,True,9.0
2025-07-22 09:33:00,LEGS DAY,95,Leg Curl (Machine),2,75.0,9.0,,8.0,675.0,True,9.0
2025-07-22 09:33:00,LEGS DAY,95,Leg Curl (Machine),3,75.0,9.0,,8.0,675.0,True,9.0
2025-07-22 09:33:00,LEGS DAY,95,Calf Raise (Machine),1,120.0,8.0,,7.0,960.0,True,8.0
2025-07-22 09:33:00,LEGS DAY,95,Calf Raise (Machine),2,120.0,8.0,,7.0,960.0,True,8.0
2025-07-22 09:33:00,LEGS DAY,95,Calf Raise (Machine),3,120.0,5.0,,7.0,600.0,True,5.0
2025-07-24 07:30:00,PULL DAY,83,Deadlift (Barbell),1,190.0,8.0,,8.0,1520.0,True,8.0
2025-07-24 07:30:00,PULL DAY,83,Deadlift (Barbell),2,190.0,10.0,,8.0,1900.0,True,10.0
2025-07-24 07:30:00,PULL DAY,83,Deadlift (Barbell),3,190.0,8.0,,9.0,1520.0,True,8.0
2025-07-24 07:30:00,PULL DAY,83,Deadlift (Barbell),4,190.0,7.0,,10.0,1330.0,True,7.0
2025-07-24 07:30:00,PULL DAY,83,Lat Pulldown (Machine),1,105.0,7.0,,9.0,735.0,True,7.0
2025-07-24 07:30:00,PULL DAY,83,Lat Pulldown (Machine),2,105.0,10.0,,,1050.0,False,10.0
2025-07-24 07:30:00,PULL DAY,83,Lat Pulldown (Machine),3,105.0,7.0,,8.0,735.0,True,7.0
2025-07-24 07:30:00,PULL DAY,83,Lat Pulldown (Machine),4,105.0,5.0,,9.0,525.0,True,5.0
2025-07-24 07:30:00,PULL DAY,83,Seated Row (Cable),1,100.0,9.0,,9.0,900.0,True,9.0
2025-07-24 07:30:00,PULL DAY,83,Seated Row (Cable),2,100.0,7.0,,,700.0,False,7.0
2025-07-24 07:30:00,PULL DAY,83,Seated Row (Cable),3,100.0,4.0,,,400.0,False,4.0
2025-07-24 07:30:00,PULL DAY,83,Seated Row (Cable),4,100.0,5.0,,8.0,500.0,True,5.0
2025-07-24 07:30:00,PULL DAY,83,Bicep Curl (Dumbbell),1,30.0,9.0,,8.0,270.0,True,9.0
2025-07-24 07:30:00,PULL DAY,83,Bicep Curl (Dumbbell),2,30.0,5.0,,6.0,150.0,True,5.0
2025-07-24 07:30:00,PULL DAY,83,Bicep Curl (Dumbbell),3,30.0,5.0,,7.0,150.0,True,5.0
2025-07-24 07:30:00,PULL DAY,83,Bicep Curl (Dumbbell),4,30.0,9.0,,8.0,270.0,True,9.0
2025-07-24 07:30:00,PULL DAY,83,Face Pull (Cable),1,45.0,9.0,,8.0,405.0,True,9.0
2025-07-24 07:30:00,PULL DAY,83,Face Pull (Cable),2,45.0,7.0,,9.0,315.0,True,7.0
2025-07-24 07:30:00,PULL DAY,83,Face Pull (Cable),3,45.0,7.0,,9.0,315.0,True,7.0
2025-07-24 07:30:00,PULL DAY,83,Face Pull (Cable),4,45.0,7.0,,8.0,315.0,True,7.0
2025-07-26 09:50:00,FULL BODY,103,Squat (Barbell),1,140.0,9.0,,,1260.0,False,9.0
2025-07-26 09:50:00,FULL BODY,103,Squat (Barbell),2,140.0,7.0,,8.0,980.0,True,7.0
2025-07-26 09:50:00,FULL BODY,103,Squat (Barbell),3,140.0,6.0,,,840.0,False,6.0
2025-07-26 09:50:00,FULL BODY,103,Squat (Barbell),4,140.0,4.0,,10.0,560.0,True,4.0
2025-07-26 09:50:00,FULL BODY,103,Bench Press (Barbell),1,125.0,9.0,,8.0,1125.0,True,9.0
2025-07-26 09:50:00,FULL BODY,103,Bench Press (Barbell),2,125.0,6.0,,,750.0,False,6.0
2025-07-26 09:50:00,FULL BODY,103,Bench Press (Barbell),3,125.0,6.0,,9.0,750.0,True,6.0
2025-07-26 09:50:00,FULL BODY,103,Bench Press (Barbell),4,125.0,4.0,,8.0,500.0,True,4.0
2025-07-26 09:50:00,FULL BODY,103,Seated Row (Cable),1,90.0,7.0,,8.0,630.0,True,7.0
2025-07-26 09:50:00,FULL BODY,103,Seated Row (Cable),2,90.0,10.0,,10.0,900.0,True,10.0
2025-07-26 09:50:00,FULL BODY,103,Seated Row (Cable),3,90.0,8.0,,10.0,720.0,True,8.0
2025-07-26 09:50:00,FULL BODY,103,Seated Row (Cable),4,90.0,4.0,,,360.0,False,4.0
2025-07-26 09:50:00,FULL BODY,103,Overhead Press (Dumbbell),1,30.0,9.0,,9.0,270.0,True,9.0
2025-07-26 09:50:00,FULL BODY,103,Overhead Press (Dumbbell),2,30.0,6.0,,8.0,180.0,True,6.0
2025-07-26 09:50:00,FULL BODY,103,Overhead Press (Dumbbell),3,30.0,8.0,,10.0,240.0,True,8.0
2025-07-26 09:50:00,FULL BODY,103,Plank Hold,1,30.0,6.0,,,180.0,False,6.0
2025-07-26 09:50:00,FULL BODY,103,Plank Hold,2,30.0,5.0,,8.0,150.0,True,5.0
2025-07-26 09:50:00,FULL BODY,103,Plank Hold,3,30.0,5.0,,8.0,150.0,True,5.0
2025-07-26 09:50:00,FULL BODY,103,Plank Hold,4,30.0,6.0,,9.0,180.0,True,6.0
2025-07-28 07:12:00,PUSH DAY,111,Bench Press (Barbell),1,135.0,6.0,,9.0,810.0,True,6.0
2025-07-28 07:12:00,PUSH DAY,111,Bench Press (Barbell),2,135.0,9.0,,8.0,1215.0,True,9.0
2025-07-28 07:12:00,PUSH DAY,111,Bench Press (Barbell),3,135.0,5.0,,8.0,675.0,True,5.0
2025-07-28 07:12:00,PUSH DAY,111,Overhead Press (Barbell),1,80.0,7.0,,8.0,560.0,True,7.0
2025-07-28 07:12:00,PUSH DAY,111,Overhead Press (Barbell),2,80.0,7.0,,9.0,560.0,True,7.0
2025-07-28 07:12:00,PUSH DAY,111,Overhead Press (Barbell),3,80.0,5.0,,9.0,400.0,True,5.0
2025-07-28 07:12:00,PUSH DAY,111,Incline Press (Dumbbell),1,50.0,7.0,,8.0,350.0,True,7.0
2025-07-28 07:12:00,PUSH DAY,111,Incline Press (Dumbbell),2,50.0,5.0,,8.0,250.0,True,5.0
2025-07-28 07:12:00,PUSH DAY,111,Incline Press (Dumbbell),3,50.0,10.0,,9.0,500.0,True,10.0
2025-07-28 07:12:00,PUSH DAY,111,Lateral Raise (Dumbbell),1,15.0,9.0,,8.0,135.0,True,9.0
2025-07-28 07:12:00,PUSH DAY,111,Lateral Raise (Dumbbell),2,15.0,8.0,,9.0,120.0,True,8.0
2025-07-28 07:12:00,PUSH DAY,111,Lateral Raise (Dumbbell),3,15.0,5.0,,,75.0,False,5.0
2025-07-28 07:12:00,PUSH DAY,111,Triceps Pushdown (Cable),1,50.0,7.0,,9.0,350.0,True,7.0
2025-07-28 07:12:00,PUSH DAY,111,Triceps Pushdown (Cable),2,50.0,7.0,,,350.0,False,7.0
2025-07-28 07:12:00,PUSH DAY,111,Triceps Pushdown (Cable),3,50.0,8.0,,8.0,400.0,True,8.0
2025-07-28 07:12:00,PUSH DAY,111,Triceps Pushdown (Cable),4,50.0,7.0,,9.0,350.0,True,7.0
2025-07-31 09:03:00,PULL DAY,90,Deadlift (Barbell),1,185.0,8.0,,9.0,1480.0,True,8.0
2025-07-31 09:03:00,PULL DAY,90,Deadlift (Barbell),2,185.0,5.0,,8.0,925.0,True,5.0
2025-07-31 09:03:00,PULL DAY,90,Deadlift (Barbell),3,185.0,6.0,,10.0,1110.0,True,6.0
2025-07-31 09:03:00,PULL DAY,90,Lat Pulldown (Machine),1,110.0,9.0,,8.0,990.0,True,9.0
2025-07-31 09:03:00,PULL DAY,90,Lat Pulldown (Machine),2,110.0,6.0,,7.0,660.0,True,6.0
2025-07-31 09:03:00,PULL DAY,90,Lat Pulldown (Machine),3,110.0,7.0,,10.0,770.0,True,7.0
2025-07-31 09:03:00,PULL DAY,90,Lat Pulldown (Machine),4,110.0,6.0,,10.0,660.0,True,6.0
2025-07-31 09:03:00,PULL DAY,90,Seated Row (Cable),1,105.0,9.0,,8.0,945.0,True,9.0
2025-07-31 09:03:00,PULL DAY,90,Seated Row (Cable),2,105.0,5.0,,7.0,525.0,True,5.0
